# Better O' Plenty block and item ids. Append-only: a saved chunk stores the
# number, not the name, so moving one replaces that block in every world that
# has it. BOPIdManifest refuses to start when one moves.
# kind	namespaced name	id
block	betteroplenty:block/red_rock	1970
block	betteroplenty:block/redwood_leaves	1528
block	betteroplenty:block/redwood_log	1527
block	betteroplenty:block/redwood_sapling	1529
block	betteroplenty:block/reed	1772
block	betteroplenty:block/river_cane	1767
block	betteroplenty:block/root	1773
block	betteroplenty:block/ruby_block	1901
block	betteroplenty:block/ruby_ore	1900
block	betteroplenty:block/ruby_ore_basalt	2014
block	betteroplenty:block/ruby_ore_granite	2015
block	betteroplenty:block/ruby_ore_limestone	2016
block	betteroplenty:block/ruby_ore_permafrost	2017
block	betteroplenty:block/sapphire_block	1911
block	betteroplenty:block/sapphire_ore	1910
block	betteroplenty:block/sapphire_ore_basalt	2034
block	betteroplenty:block/sapphire_ore_granite	2035
block	betteroplenty:block/sapphire_ore_limestone	2036
block	betteroplenty:block/sapphire_ore_permafrost	2037
block	betteroplenty:block/short_grass	1776
block	betteroplenty:block/shrub	1756
block	betteroplenty:block/smoldering_grass	1993
block	betteroplenty:block/spike_cube	1400
block	betteroplenty:block/spike_custom	1402
block	betteroplenty:block/spike_plant	1401
block	betteroplenty:block/sprout	1753
block	betteroplenty:block/stained_clay_orange	1981
block	betteroplenty:block/stained_clay_red	1982
block	betteroplenty:block/sunflower	1713
block	betteroplenty:block/sunflower_top	1714
block	betteroplenty:block/swamp_flower	1701
block	betteroplenty:block/tanzanite_block	1907
block	betteroplenty:block/tanzanite_ore	1906
block	betteroplenty:block/tanzanite_ore_basalt	2026
block	betteroplenty:block/tanzanite_ore_granite	2027
block	betteroplenty:block/tanzanite_ore_limestone	2028
block	betteroplenty:block/tanzanite_ore_permafrost	2029
block	betteroplenty:block/thatching	2009
block	betteroplenty:block/thorn	1764
block	betteroplenty:block/tiny_cactus	1771
block	betteroplenty:block/toadstool	1724
block	betteroplenty:block/topaz_block	1905
block	betteroplenty:block/topaz_ore	1904
block	betteroplenty:block/topaz_ore_basalt	2022
block	betteroplenty:block/topaz_ore_granite	2023
block	betteroplenty:block/topaz_ore_limestone	2024
block	betteroplenty:block/topaz_ore_permafrost	2025
block	betteroplenty:block/tree_moss	1775
block	betteroplenty:block/violet	1708
block	betteroplenty:block/wheat_grass	1404
block	betteroplenty:block/wild_carrot	1770
block	betteroplenty:block/wildflower	1707
block	betteroplenty:block/willow_drape	1940
block	betteroplenty:block/willow_leaves	1531
block	betteroplenty:block/willow_log	1530
block	betteroplenty:block/willow_sapling	1532
block	betteroplenty:block/yellowautumn_leaves	1540
block	betteroplenty:block/yellowautumn_sapling	1541
item	betteroplenty:item/amethyst	18000
item	betteroplenty:item/amethystaxe	18003
item	betteroplenty:item/amethystboots	18009
item	betteroplenty:item/amethystchestplate	18007
item	betteroplenty:item/amethysthelmet	18006
item	betteroplenty:item/amethysthoe	18005
item	betteroplenty:item/amethystleggings	18008
item	betteroplenty:item/amethystpickaxe	18001
item	betteroplenty:item/amethystscythe	18415
item	betteroplenty:item/amethystshovel	18002
item	betteroplenty:item/amethystsword	18004
item	betteroplenty:item/boprecord	18510
item	betteroplenty:item/bucket_amethyst	18100
item	betteroplenty:item/dart	18302
item	betteroplenty:item/dartblower	18301
item	betteroplenty:item/diamondscythe	18413
item	betteroplenty:item/dullflowerband	18500
item	betteroplenty:item/exoticflowerband	18503
item	betteroplenty:item/gemstar	18206
item	betteroplenty:item/goldscythe	18412
item	betteroplenty:item/ironscythe	18411
item	betteroplenty:item/lushflowerband	18502
item	betteroplenty:item/malachite	18204
item	betteroplenty:item/mudaxe	18402
item	betteroplenty:item/mudball	18300
item	betteroplenty:item/mudboots	18408
item	betteroplenty:item/mudchestplate	18406
item	betteroplenty:item/mudhelmet	18405
item	betteroplenty:item/mudhoe	18404
item	betteroplenty:item/mudleggings	18407
item	betteroplenty:item/mudpickaxe	18400
item	betteroplenty:item/mudrecord	18511
item	betteroplenty:item/mudscythe	18414
item	betteroplenty:item/mudshovel	18401
item	betteroplenty:item/mudsword	18403
item	betteroplenty:item/peridot	18201
item	betteroplenty:item/plainflowerband	18501
item	betteroplenty:item/ruby	18200
item	betteroplenty:item/sapphire	18205
item	betteroplenty:item/steelscythe	18416
item	betteroplenty:item/stonescythe	18410
item	betteroplenty:item/tanzanite	18203
item	betteroplenty:item/topaz	18202
item	betteroplenty:item/woodscythe	18409
item	betteroplenty:item/berries	18872
item	betteroplenty:item/shroompowder	18873
item	betteroplenty:item/wildcarrots	18874
item	betteroplenty:item/sunflowerseeds	18875
item	betteroplenty:item/saladfruit	18876
item	betteroplenty:item/saladveggie	18877
item	betteroplenty:item/saladshroom	18878
item	betteroplenty:item/earth	18879
item	betteroplenty:item/persimmon	18880
item	betteroplenty:item/filledhoneycomb	18881
item	betteroplenty:item/ambrosia	18882
item	betteroplenty:item/turnip	18883
block	betteroplenty:block/stalagmite	2038
block	betteroplenty:block/stalactite	2039
block	betteroplenty:block/quicksand	2040
block	betteroplenty:block/bones_small	2120
block	betteroplenty:block/bones_medium	2121
block	betteroplenty:block/bones_large	2122
block	betteroplenty:block/grave	2123
block	betteroplenty:block/grave_top	2124
item	betteroplenty:item/mudbrick	18900
item	betteroplenty:item/ash	18901
item	betteroplenty:item/emptyhoneycomb	18902
item	betteroplenty:item/fleshchunk	18903
item	betteroplenty:item/crystalshard	18904
item	betteroplenty:item/ghastlysoul	18905
item	betteroplenty:item/pixiedust	18906
item	betteroplenty:item/jarhoney	31000
item	betteroplenty:item/jarpoison	31001
item	betteroplenty:item/jarpixie	31002
block	betteroplenty:block/overgrown_netherrack	2160
block	betteroplenty:block/wither_wart	2161
block	betteroplenty:block/flesh	2162
block	betteroplenty:block/mushroom_cap_brown	2163
block	betteroplenty:block/mushroom_cap_red	2164
block	betteroplenty:block/hive_honeycomb	2100
block	betteroplenty:block/hive	2101
block	betteroplenty:block/hive_honeycomb_empty	2102
block	betteroplenty:block/hive_honeycomb_filled	2103
block	betteroplenty:block/honey_block	2104
block	betteroplenty:block/fluid_honey_still	2105
block	betteroplenty:block/fluid_honey_flowing	2106
block	betteroplenty:block/holy_stone	2200
block	betteroplenty:block/holy_cobble	2201
block	betteroplenty:block/holy_bricks	2202
block	betteroplenty:block/holy_stone_mossy	2203
block	betteroplenty:block/holy_grass	2204
block	betteroplenty:block/holy_dirt	2205
block	betteroplenty:block/mushroom_stem	2165
biome	betteroplenty:bop.promised_plains	-
block	betteroplenty:block/portal_promised	2206
block	betteroplenty:block/holy_tall_grass	2207
block	betteroplenty:block/crystal	2208
block	betteroplenty:block/cloud	2209
biome	betteroplenty:bop.promised_forest	-
biome	betteroplenty:bop.promised_shrub	-
biome	betteroplenty:bop.promised_swamp	-
item	betteroplenty:item/staffhandle	18207
item	betteroplenty:item/staffpole	18208
item	betteroplenty:item/stafftopper	18209
item	betteroplenty:item/ancientstaff	18210
item	betteroplenty:item/ancientstaffbroken	18211
block	betteroplenty:block/turnip_crop	2210
item	betteroplenty:item/turnipseeds	31003
item	betteroplenty:item/wadingboots	18504
item	betteroplenty:item/flippers	18505
